,R5.97,R7,R7.92,R8.00,R10.98,R10.91,R10.87,R11,R11.95,R13.95B,R19.88,R17,R17.88,R18,R18.99,R31,R31.96,R22.99,R22.92,R22.89,R23,R23.93,R24,R25.96,R26,R26.00,R27.99,R27.97,R28.99,R28.9000,R29,M17,M17.95,M17.90,M17.86,M18,M18.99a,M18.95,M19.99,M19.95,M20.95,R33,R38.01,M1.8800,M2,M2.96,M4,M5,M6,M6.99,M8.98,M8.91,M8.9102,M8.88,M8.8800,M9,M9.96,M10,M11.91,M12,M13.02,M14,M14.93,M23.91,M24.04,M24.90,M25,M25.00,M26,M27.91,M28.97,M28.94,M30,M30.97,M31,M33,M33.95,M34.92,M35,M35.91,M41,M45.97,M45.93,M46,M47,M48,M48.97,M48.93,M52.92,M53.95B,M54.00,M56,M56.91,M56.9101,M56.87,M57.95,M58.91,M61,M62.95,M62.91,M63,M63.01,M63.94,M64.99,M64.95,M65.93,M67.90,M68,M68.00,M69,M69.93,M71.00,M72,M73.90,M77,M78,S91.97,S91.93,S92,S92.94
R24,0.982248521,0.970930233,0.971098266,0.968253968,0.986577181,0.987012987,0.987179487,0.993421053,0.993377483,0.97260274,0.908653846,0.944444444,0.955128205,0.954545455,0.967741935,0.901960784,0.911330049,0.308823529,0.67721519,0.220588235,0.135338346,0.198473282,0,0.949367089,0.949367089,0.963414634,0.930434783,0.939130435,0.933333333,0.976377953,0.939130435,0.98816568,0.981481481,0.993103448,0.976,0.991803279,1,1,0.965714286,0.971428571,0.975903614,0.98245614,0.925373134,0.95505618,0.946808511,0.928571429,0.924107143,0.924778761,0.966346154,0.966666667,0.954545455,0.965317919,0.962264151,0.959390863,0.956284153,0.942982456,0.95045045,0.923766816,0.938356164,0.94,0.918367347,0.939189189,0.947019868,0.905405405,0.936507937,0.909090909,0.898617512,0.900943396,0.86746988,0.934343434,0.941747573,0.917073171,0.918032787,0.943181818,0.882653061,0.965909091,0.982857143,0.969135802,0.966480447,0.975,0.992647059,0.886792453,0.902912621,0.91509434,0.914691943,0.931578947,0.931216931,0.931578947,0.934640523,0.933333333,0.961538462,0.963414634,0.962962963,0.962962963,0.969325153,0.969325153,0.992592593,0.985074627,0.993288591,0.993333333,0.933333333,0.936507937,0.949771689,0.967741935,0.936073059,0.952173913,0.974522293,0.974842767,0.944444444,0.953125,0.975,0.943181818,0.925925926,0.913793103,0.919075145,0.934782609,0.917721519,0.916167665,0.911764706,0.924528302
R25.96,0.981927711,0.964285714,0.964497041,0.954545455,0.993197279,0.986754967,0.986928105,0.986486486,0.993243243,0.986206897,0.958139535,0.966101695,0.967741935,0.947674419,0.967532468,0.927184466,0.936585366,0.96347032,0.95959596,0.947136564,0.943965517,0.945701357,0.949367089,0,0.093023256,0.254901961,0.952586207,0.947598253,0.946666667,0.965217391,0.947598253,0.994011976,0.99378882,1,0.99137931,1,1,1,0.994350282,0.994318182,0.993975904,0.990654206,0.972972973,0.977653631,0.989583333,0.969565217,0.96969697,0.969957082,0.970873786,0.96875,0.971590909,0.988505747,0.982758621,0.964102564,0.967032967,0.96969697,0.968609865,0.969565217,1,0.993548387,0.982142857,0.993464052,0.993548387,0.986842105,0.985714286,0.986486486,0.987124464,0.986784141,0.966292135,0.990291262,0.990610329,0.981395349,0.962765957,0.977653631,0.946341463,0.971264368,0.976608187,0.987654321,0.97752809,0.981012658,0.992481203,0.936507937,0.953051643,0.949074074,0.948837209,0.96373057,0.963541667,0.96373057,0.967741935,0.926136364,0.983050847,1,1,1,1,1,0.992424242,0.992424242,1,1,0.978448276,0.985915493,0.986607143,0.983333333,0.982300885,0.183206107,0.953642384,0.954248366,0.931034483,0.984615385,0.95,0.954285714,0.947368421,0.966666667,0.972067039,0.944444444,0.981818182,0.952941176,0.96,0.95
R26,0.981927711,0.964285714,0.964497041,0.955223881,1,0.993421053,0.993506494,0.993288591,0.993243243,0.986206897,0.958139535,0.974576271,0.974358974,0.953757225,0.967105263,0.93236715,0.941747573,0.96347032,0.95959596,0.947136564,0.943965517,0.945701357,0.949367089,0.093023256,0,0.235294118,0.948051948,0.942982456,0.941964286,0.973913043,0.942982456,0.994011976,0.99378882,1,0.991304348,1,1,1,0.994350282,0.994318182,0.993975904,0.990566038,0.973333333,0.977653631,0.989473684,0.969565217,0.96969697,0.969957082,0.970873786,0.969230769,0.971590909,0.988505747,0.983050847,0.964102564,0.967032967,0.96969697,0.968609865,0.969565217,1,0.993548387,0.98245614,0.993464052,0.993548387,0.986754967,0.985915493,0.986486486,0.987124464,0.986784141,0.965909091,0.990291262,0.990610329,0.981395349,0.962765957,0.977653631,0.946341463,0.971264368,0.976608187,0.987654321,0.97752809,0.981012658,0.992481203,0.9375,0.953051643,0.949074074,0.948837209,0.96373057,0.963541667,0.96373057,0.967741935,0.92,0.983333333,1,1,1,1,1,0.992424242,0.992424242,1,1,0.978448276,0.986111111,0.986607143,0.983870968,0.982300885,0.111111111,0.953642384,0.954248366,0.93220339,0.984615385,0.952380952,0.960227273,0.952879581,0.966666667,0.972067039,0.945454545,0.981818182,0.952941176,0.96,0.95
R26.00,1,0.983333333,0.983333333,0.952380952,1,0.98,0.979591837,0.979591837,0.979166667,1,0.96,1,0.980392157,0.982758621,0.982142857,0.939393939,0.954545455,0.974358974,0.953846154,0.95,0.948717949,0.96,0.963414634,0.254901961,0.235294118,0,0.922077922,0.907894737,0.92,1,0.921052632,1,1,1,1,1,1,1,1,1,1,1,0.971830986,0.981818182,NA,0.986486486,0.986486486,0.986486486,0.984615385,0.983870968,0.962962963,0.982142857,0.981818182,0.953846154,0.946428571,0.986486486,0.986111111,0.986486486,1,0.980769231,0.981132075,0.980769231,0.981132075,NA,0.985074627,0.985074627,0.985714286,0.985714286,NA,1,0.985507246,0.985294118,0.953125,0.951612903,0.938461538,0.961538462,0.961538462,0.981132075,0.981132075,0.979591837,1,0.951612903,0.945945946,0.945945946,0.945945946,0.940298507,0.941176471,0.940298507,1,0.911764706,1,1,1,1,1,1,0.979166667,0.979166667,1,1,0.971830986,0.985507246,0.985915493,NA,0.985507246,0.31372549,0.946428571,0.949152542,0.947368421,1,NA,0.967213115,0.969230769,NA,0.967213115,0.962264151,1,0.95,0.948275862,0.947368421
R27.99,0.987804878,0.976047904,0.976190476,0.95,0.993055556,0.993288591,1,0.993150685,0.993103448,0.978723404,0.96728972,0.956896552,0.960264901,0.934131737,0.944444444,0.951923077,0.961352657,0.943396226,0.953608247,0.927272727,0.933920705,0.930232558,0.930434783,0.952586207,0.948051948,0.922077922,0,0.169230769,0.157480315,0.936936937,0.125984252,0.993902439,0.987261146,0.992805755,0.982905983,1,1,1,0.988439306,0.988372093,1,0.981481481,0.939393939,0.983050847,0.979166667,0.969162996,0.964757709,0.965065502,0.944444444,0.983050847,0.977011494,0.970238095,0.960784314,0.963541667,0.972222222,0.960176991,0.972850679,0.969162996,0.972413793,0.966216216,0.9375,0.972789116,0.966216216,0.96,1,0.981651376,0.964444444,0.96347032,0.95505618,0.980099502,0.985645933,0.981132075,0.956521739,0.959537572,0.96097561,0.970760234,0.976190476,0.981012658,0.965317919,0.974025974,0.992307692,0.966666667,0.96713615,0.967741935,0.97235023,0.973958333,0.97382199,0.973958333,0.931972789,0.931034483,0.961538462,0.98136646,0.981132075,0.981132075,0.981132075,0.9875,0.992248062,0.984375,1,1,0.96,0.953125,0.962962963,0.984615385,0.96347032,0.955555556,0.973509934,0.973856209,0.924528302,0.984375,0.977777778,0.988764045,0.968586387,0.984126984,0.935294118,0.891304348,0.981481481,0.964497041,0.959302326,0.96875
R27.97,0.987654321,0.975757576,0.975903614,0.95,0.992957746,0.993197279,1,0.993055556,0.993006993,0.978417266,0.966981132,0.964912281,0.966666667,0.926829268,0.936170213,0.946341463,0.955882353,0.947867299,0.958549223,0.936363636,0.942731278,0.934579439,0.939130435,0.947598253,0.942982456,0.907894737,0.169230769,0,0.1875,0.935185185,0.198473282,0.99382716,0.987096774,0.99270073,0.982608696,1,1,1,0.988304094,0.988235294,1,0.981132075,0.970588235,0.977011494,0.97826087,0.968888889,0.964444444,0.964757709,0.943877551,0.983050847,0.970760234,0.963636364,0.960784314,0.957671958,0.966101695,0.964444444,0.97260274,0.968888889,0.979166667,0.972789116,0.959183673,0.979452055,0.972789116,0.959459459,1,0.981481481,0.964125561,0.963133641,0.952941176,0.974747475,0.985507246,0.980952381,0.956043956,0.959064327,0.960591133,0.970414201,0.975903614,0.987261146,0.970930233,0.980392157,0.9921875,0.966666667,0.966824645,0.96744186,0.972093023,0.973684211,0.973544974,0.973684211,0.931034483,0.923976608,0.961538462,0.9875,0.987341772,0.981132075,0.987341772,0.987341772,0.992125984,0.992125984,1,1,0.968888889,0.969230769,0.972222222,0.983050847,0.97260274,0.95045045,0.973154362,0.973509934,0.924528302,0.978835979,0.974358974,0.982857143,0.962765957,0.982758621,0.940828402,0.914893617,0.974842767,0.957831325,0.952662722,0.961783439
R28.99,0.987341772,0.97515528,0.975308642,0.948275862,0.992753623,0.993006993,1,0.992857143,0.992805755,0.977777778,0.971291866,0.964285714,0.965753425,0.938271605,0.942028986,0.95049505,0.960199005,0.941747573,0.95212766,0.930232558,0.936936937,0.933333333,0.933333333,0.946666667,0.941964286,0.92,0.157480315,0.1875,0,0.943925234,0.1875,0.993670886,0.986754967,0.992481203,0.982142857,1,1,1,0.988023952,0.987951807,1,0.980769231,0.96969697,0.98245614,0.968085106,0.963636364,0.959090909,0.959459459,0.937172775,0.98245614,0.982248521,0.975460123,0.98,0.962365591,0.971264368,0.959090909,0.972093023,0.963636364,0.963768116,0.957446809,0.934782609,0.964285714,0.957446809,0.95890411,1,0.981132075,0.96347032,0.962441315,0.954545455,0.974226804,0.985221675,0.980582524,0.95505618,0.964285714,0.959798995,0.957055215,0.968944099,0.973509934,0.957831325,0.965986395,0.991935484,0.966101695,0.971153846,0.971698113,0.976415094,0.97311828,0.972972973,0.97311828,0.936619718,0.934911243,0.960784314,0.980645161,0.980392157,0.980392157,0.980392157,0.987012987,0.991869919,0.983606557,1,1,0.968325792,0.984375,0.971698113,0.984615385,0.972093023,0.944700461,0.972413793,0.972789116,0.921568627,0.978378378,0.977777778,0.976470588,0.961956522,0.968253968,0.939393939,0.913043478,0.974193548,0.963190184,0.957831325,0.967532468
R28.9000,0.926470588,0.929577465,0.930555556,0.75,1,1,1,1,1,0.959183673,0.971698113,0.826923077,0.826923077,0.737704918,0.836734694,0.888888889,0.886597938,0.981981982,0.989130435,0.974576271,0.976,0.991304348,0.976377953,0.965217391,0.973913043,1,0.936936937,0.935185185,0.943925234,0,0.926605505,0.985294118,0.967741935,0.977272727,0.967213115,1,1,1,0.987179487,0.987341772,1,0.963636364,1,0.963414634,0.984848485,0.983193277,0.983471074,0.983739837,0.98,1,0.947368421,0.973333333,0.909090909,0.965517241,0.950617284,0.991735537,0.99122807,0.983333333,0.982142857,0.983050847,1,0.98245614,0.983050847,0.97,1,0.972477064,0.974358974,0.972972973,0.983606557,0.967032967,0.98,0.980952381,0.965909091,0.974358974,0.930693069,0.974358974,0.986666667,0.984375,0.9625,0.952380952,0.972222222,1,0.971153846,0.972727273,0.972222222,0.966292135,0.965909091,0.977777778,0.754716981,0.719298246,1,1,1,1,1,1,1,1,1,1,0.991869919,1,0.991150442,1,0.991525424,0.962962963,0.980392157,0.981132075,1,0.988636364,0.956521739,1,0.965909091,0.971428571,0.974358974,1,0.984126984,0.986111111,0.986842105,1
R29,0.987654321,0.975757576,0.975903614,0.949152542,0.992957746,0.993197279,1,0.993055556,0.993006993,0.978417266,0.966981132,0.956521739,0.959731544,0.926829268,0.936170213,0.946341463,0.955882353,0.942857143,0.958549223,0.936363636,0.942731278,0.939534884,0.939130435,0.947598253,0.942982456,0.921052632,0.125984252,0.198473282,0.1875,0.926605505,0,0.99382716,0.987096774,0.99270073,0.982758621,1,1,1,0.988304094,0.988235294,1,0.981308411,0.938461538,0.977011494,0.979381443,0.968888889,0.964444444,0.964757709,0.943877551,0.982758621,0.970760234,0.963636364,0.96,0.957671958,0.966101695,0.955156951,0.967889908,0.968888889,0.972027972,0.965753425,0.936170213,0.972413793,0.965753425,0.959731544,1,0.981481481,0.964125561,0.963133641,0.955555556,0.974747475,0.985507246,0.980952381,0.956043956,0.959064327,0.955445545,0.970414201,0.975903614,0.980769231,0.964912281,0.973684211,0.9921875,0.966101695,0.966824645,0.96744186,0.972093023,0.973684211,0.973544974,0.973684211,0.923611111,0.917647059,0.960784314,0.981132075,0.98089172,0.980769231,0.98089172,0.987341772,0.992125984,0.984126984,1,1,0.959641256,0.952380952,0.962616822,0.984375,0.963133641,0.95045045,0.973154362,0.973509934,0.923076923,0.978835979,0.977272727,0.982857143,0.962765957,0.984126984,0.940828402,0.888888889,0.974842767,0.957831325,0.952662722,0.961783439
M17,1,1,1,1,0.955223881,0.943661972,0.945205479,0.956521739,0.940298507,0.954545455,0.971830986,1,1,1,1,0.985815603,0.985507246,0.993243243,0.984126984,0.987421384,0.987878788,0.993506494,0.98816568,0.994011976,0.994011976,1,0.993902439,0.99382716,0.993670886,0.985294118,0.99382716,0,0.444444444,0.586956522,0.5,0.523809524,0.230769231,0.608695652,0.571428571,0.565217391,0.410714286,0.425,1,0.980582524,0.975308642,0.987261146,0.987341772,0.9875,0.984848485,1,0.97,0.968421053,1,0.991869919,0.971962617,1,1,0.987261146,0.957746479,0.96,0.956521739,0.95890411,0.96,0.981308411,1,0.986206897,0.993630573,0.986666667,0.96,0.992248062,0.992647059,0.992857143,0.982608696,0.990384615,0.99270073,0.958762887,0.968085106,0.951219512,0.93877551,0.949367089,0.962962963,1,0.971631206,0.979452055,0.972222222,0.991735537,0.991666667,0.991735537,0.987654321,0.990909091,1,0.844155844,0.855263158,0.772727273,0.84,0.855263158,0.962264151,0.962264151,0.921875,0.923076923,0.987261146,1,0.993243243,0.980769231,0.986666667,1,1,1,1,0.974358974,0.939393939,1,0.991735537,0.957446809,0.980769231,0.956521739,0.988764045,0.98989899,0.990291262,0.988764045
M17.95,0.988095238,0.988764045,0.988888889,1,0.967741935,0.954545455,0.955882353,0.96875,0.951612903,0.93220339,0.97810219,1,1,0.989583333,1,0.985185185,0.984848485,0.985815603,0.983333333,0.980263158,0.981012658,0.986394558,0.981481481,0.99378882,0.99378882,1,0.987261146,0.987096774,0.986754967,0.967741935,0.987096774,0.444444444,0,0.717391304,0.256410256,0.733333333,0.5,0.765957447,0.433333333,0.45,0.462962963,0.388888889,1,0.96875,0.986666667,0.986754967,0.986842105,0.987012987,0.984126984,1,0.956989247,0.954545455,0.956521739,0.982758621,0.96,1,1,0.986754967,0.96969697,0.956521739,0.952380952,0.955223881,0.956521739,0.980392157,1,0.985611511,0.993377483,0.986111111,0.955882353,0.991869919,0.992307692,0.992537313,0.981651376,0.989795918,0.992366412,0.956043956,0.97752809,0.947368421,0.934782609,0.930555556,0.936170213,1,0.977941176,0.985815603,0.978417266,0.991304348,0.99122807,0.991304348,0.972972973,0.980582524,1,0.830985915,0.842857143,0.80952381,0.808823529,0.826086957,0.979166667,0.979166667,0.854545455,0.857142857,1,1,1,1,1,1,0.98630137,0.986666667,0.962962963,0.972972973,0.933333333,1,0.991304348,0.95,0.979591837,0.952380952,0.987951807,0.989247312,0.989690722,0.987951807
M17.90,1,1,1,1,0.928571429,0.913043478,0.916666667,0.931818182,0.904761905,0.952380952,0.983193277,1,1,1,1,0.991452991,0.99122807,1,0.990196078,0.992592593,0.992907801,1,0.993103448,1,1,1,0.992805755,0.99270073,0.992481203,0.977272727,0.99270073,0.586956522,0.717391304,0,0.804878049,0.347826087,0.181818182,0.375,0.790322581,0.806451613,0.79245283,0.757575758,1,1,0.983333333,0.992481203,0.992537313,0.992647059,0.990740741,1,0.987012987,0.986111111,1,1,0.988095238,1,1,0.992481203,0.957446809,0.960784314,0.95,0.959183673,0.960784314,0.976470588,1,0.983333333,0.992424242,0.984,0.943396226,0.990384615,0.990990991,0.991304348,0.989010989,0.987341772,0.991071429,0.972972973,0.971428571,0.966101695,0.946666667,0.945454545,0.931034483,1,0.983050847,0.991869919,0.983471074,0.989583333,0.989473684,0.989583333,1,1,1,0.915254237,0.931034483,0.8,0.912280702,0.912280702,0.928571429,0.928571429,0.952380952,0.953488372,1,1,1,1,1,1,1,1,1,0.978494624,0.933333333,1,1,0.964285714,0.974683544,0.952380952,0.984375,0.986486486,0.987179487,0.984375
M17.86,0.98630137,0.986666667,0.986842105,1,1,1,1,1,1,0.941176471,0.971698113,1,1,0.987341772,1,0.981818182,0.981481481,0.981818182,0.978494624,0.974137931,0.975806452,0.982608696,0.976,0.99137931,0.991304348,1,0.982905983,0.982608696,0.982142857,0.967213115,0.982758621,0.5,0.256410256,0.804878049,0,0.76744186,0.777777778,0.87804878,0.519230769,0.509433962,0.395348837,0.242424242,1,0.965517241,0.986486486,0.983333333,0.983471074,0.983739837,0.980582524,1,0.950617284,0.948717949,0.933333333,0.978494624,0.953488372,1,1,0.983333333,0.98245614,0.966101695,1,0.964912281,0.966101695,0.980392157,1,0.982142857,0.991735537,0.982300885,0.970588235,0.989690722,0.990291262,0.990654206,0.977011494,0.987012987,0.990566038,0.933333333,0.95890411,0.916666667,0.907894737,0.918032787,0.973684211,NA,0.970873786,0.981981982,0.972477064,0.988888889,0.988764045,0.988888889,0.969230769,0.97260274,1,0.881355932,0.879310345,1,0.859649123,0.879310345,1,1,0.872340426,0.875,0.991869919,1,0.99122807,0.979166667,0.991596639,1,0.981481481,0.982142857,0.875,0.966666667,0.933333333,1,0.989130435,0.951219512,0.986842105,NA,0.985074627,0.98630137,0.987179487,0.985074627
M18,1,1,1,1,0.976744186,0.957446809,0.96,0.955555556,0.953488372,1,0.98,1,1,1,1,0.990196078,0.99,1,0.988235294,0.991150442,0.991666667,1,0.991803279,1,1,1,1,1,1,1,1,0.523809524,0.733333333,0.347826087,0.76744186,0,0.375,0.434782609,0.819672131,0.803278689,0.76,0.783783784,1,1,0.984375,0.991150442,0.991304348,0.991452991,1,1,1,1,1,1,1,1,1,0.99122807,0.979591837,0.980769231,1,0.98,0.980769231,0.988888889,1,0.990384615,1,0.990566038,0.965517241,1,0.989361702,0.98989899,1,1,1,0.957142857,0.954545455,0.945454545,0.944444444,0.946428571,0.965517241,1,0.979591837,0.99047619,0.980392157,0.988095238,0.987951807,0.988095238,1,1,1,0.910714286,0.909090909,0.9375,0.886792453,0.907407407,0.931034483,0.933333333,0.871794872,0.875,0.99137931,1,1,1,0.990990991,1,1,1,1,0.987654321,1,1,1,1,0.971830986,0.888888889,0.982142857,0.984615385,0.985507246,0.982758621
M18.99a,1,1,1,1,0.857142857,0.875,0.866666667,0.9375,0.857142857,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.230769231,0.5,0.181818182,0.777777778,0.375,0,0.166666667,0.6,0.684210526,0.588235294,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947368421,0.947368421,0.95,0.947368421,0.95,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,0.857142857,1,1,1,1,1,1,1,1,1,1,0.818181818,0.863636364,0.8,0.80952381,0.80952381,0.933333333,0.933333333,0.928571429,0.928571429,1,1,1,NA,1,1,1,1,1,1,NA,1,1,NA,0.965517241,0.954545455,1,1,1,1
M18.95,1,1,1,1,0.926829268,0.934782609,0.9375,0.954545455,0.928571429,0.976190476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.608695652,0.765957447,0.375,0.87804878,0.434782609,0.166666667,0,0.825396825,0.859375,0.764705882,0.848484848,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.978723404,0.980392157,0.954545455,0.979591837,0.980392157,1,1,1,1,1,1,1,1,1,1,1,1,0.986486486,0.971014493,0.983050847,0.973684211,0.963636364,0.928571429,1,1,1,1,1,1,1,1,1,1,0.93220339,0.948275862,0.818181818,0.929824561,0.929824561,0.964285714,0.964285714,0.951219512,0.952380952,1,1,1,1,1,1,1,1,1,0.989247312,1,1,1,1,0.987341772,0.956521739,1,1,1,1
M19.99,0.99,0.99047619,0.990566038,1,0.918918919,0.91025641,0.9125,0.921052632,0.934210526,0.946666667,0.973684211,1,1,0.981981982,0.976744186,0.98,0.979591837,0.974193548,0.962406015,0.969879518,0.970930233,0.97515528,0.965714286,0.994350282,0.994350282,1,0.988439306,0.988304094,0.988023952,0.987179487,0.988304094,0.571428571,0.433333333,0.790322581,0.519230769,0.819672131,0.6,0.825396825,0,0.087719298,0.403225806,0.574468085,0.956521739,0.973214286,0.975903614,0.981927711,0.982035928,0.982248521,0.993006993,1,0.963302752,0.961538462,0.966666667,0.992481203,0.974358974,0.99408284,0.99378882,0.981927711,0.962962963,0.952380952,0.925925926,0.951219512,0.952380952,0.981981982,0.976190476,0.980519481,0.994011976,0.981132075,0.961038961,0.992805755,0.986206897,0.986577181,0.975806452,0.982300885,0.98630137,0.962616822,0.980952381,0.956521739,0.95412844,0.95505618,0.918032787,0.973684211,0.973509934,0.980769231,0.980645161,0.984615385,0.984496124,0.984615385,0.977777778,0.991666667,0.967741935,0.792682927,0.802469136,0.769230769,0.7875,0.802469136,0.968253968,0.968253968,0.887323944,0.888888889,0.988023952,0.953488372,0.987261146,1,0.9875,1,0.988764045,0.989010989,0.970588235,0.984375,0.931034483,1,0.984615385,0.957446809,0.964285714,0.92,0.98989899,0.981481481,0.982142857,0.979591837
M19.95,0.98989899,0.990384615,0.99047619,1,0.932432432,0.923076923,0.925,0.934210526,0.947368421,0.945945946,0.973509934,1,1,0.990990991,0.988372093,0.986666667,0.986394558,0.980645161,0.969924812,0.975903614,0.976744186,0.975,0.971428571,0.994318182,0.994318182,1,0.988372093,0.988235294,0.987951807,0.987341772,0.988235294,0.565217391,0.45,0.806451613,0.509433962,0.803278689,0.684210526,0.859375,0.087719298,0,0.419354839,0.5625,0.977272727,0.963636364,0.976470588,0.981818182,0.981927711,0.982142857,0.985815603,1,0.953271028,0.950980392,0.962962963,0.984732824,0.965217391,0.994047619,0.99375,0.981818182,0.9625,0.951807229,0.916666667,0.950617284,0.951807229,0.982300885,0.974358974,0.980392157,0.993975904,0.981012658,0.962025316,0.992753623,0.986111111,0.986486486,0.975609756,0.982142857,0.986206897,0.962264151,0.980769231,0.956043956,0.953703704,0.954545455,0.916666667,0.971428571,0.973333333,0.980645161,0.980519481,0.984496124,0.984375,0.984496124,0.988888889,0.991596639,0.964285714,0.833333333,0.829268293,0.884615385,0.829268293,0.843373494,0.967741935,0.967741935,0.885714286,0.887323944,0.994011976,0.975609756,0.993630573,1,0.99375,1,0.988636364,0.988888889,0.967741935,0.984251969,0.933333333,1,0.984496124,0.959183673,0.963963964,0.909090909,0.989795918,0.981308411,0.981981982,0.979381443
M20.95,0.988764045,0.989361702,0.989473684,1,0.921875,0.911764706,0.914285714,0.924242424,0.939393939,0.96969697,0.986013986,1,1,0.99009901,0.986842105,0.978417266,0.977941176,0.979310345,0.967479675,0.974358974,0.975308642,0.986842105,0.975903614,0.993975904,0.993975904,1,1,1,1,1,1,0.410714286,0.462962963,0.79245283,0.395348837,0.76,0.588235294,0.764705882,0.403225806,0.419354839,0,0.351351351,0.976744186,0.97029703,1,0.993630573,0.993670886,0.99375,0.992424242,1,0.96969697,0.968085106,0.961538462,0.983471074,0.971698113,1,1,0.993630573,0.986111111,0.973333333,0.958333333,0.97260274,0.973333333,0.990566038,1,0.993103448,1,0.993333333,0.971830986,1,0.992592593,0.992805755,0.991304348,1,1,0.947368421,0.967741935,0.9375,0.948979592,0.962025316,0.962264151,1,0.985915493,0.993197279,0.986206897,0.991666667,0.991596639,0.991666667,0.974683544,0.990825688,1,0.826666667,0.837837838,0.88,0.821917808,0.837837838,0.981132075,0.981132075,0.885245902,0.887096774,0.987179487,0.974358974,0.98630137,0.98,0.986577181,1,0.987179487,0.9875,0.965517241,0.991525424,0.96875,1,0.991666667,0.977272727,0.980582524,1,0.988636364,0.989795918,0.990196078,0.988636364
R33,1,1,1,1,0.979166667,0.96,0.962264151,0.958333333,0.958333333,0.928571429,0.96875,1,1,0.985915493,1,0.97979798,0.979381443,0.989795918,0.977011494,0.980769231,0.982142857,0.990384615,0.98245614,0.990654206,0.990566038,1,0.981481481,0.981132075,0.980769231,0.963636364,0.981308411,0.425,0.388888889,0.757575758,0.242424242,0.783783784,1,0.848484848,0.574468085,0.5625,0.351351351,0,1,0.973684211,0.986842105,0.991071429,0.991150442,0.991304348,0.978947368,1,0.958333333,0.955223881,1,0.987951807,0.960526316,1,1,0.991071429,0.98,0.962264151,1,0.960784314,0.960784314,0.980769231,1,0.971153846,0.99122807,0.971698113,0.941176471,0.988888889,0.989361702,0.98989899,0.973684211,0.985074627,0.979381443,0.928571429,0.955882353,0.909090909,0.901408451,0.910714286,0.970588235,NA,0.968085106,0.98,0.969387755,0.974683544,0.974025974,0.974683544,0.966101695,0.96875,NA,0.884615385,0.882352941,1,0.86,0.882352941,1,1,0.911111111,0.913043478,0.982300885,NA,0.99047619,0.978723404,0.981651376,1,1,1,NA,0.950617284,0.928571429,0.985915493,0.975903614,0.951219512,0.971014493,NA,0.983606557,0.984848485,0.985915493,0.983050847
R38.01,1,1,1,1,1,1,1,1,1,0.921052632,0.859649123,0.888888889,0.973684211,0.904761905,0.9,0.963636364,0.962962963,0.919354839,0.942307692,0.924242424,0.938461538,0.968253968,0.925373134,0.972972973,0.973333333,0.971830986,0.939393939,0.970588235,0.96969697,1,0.938461538,1,1,1,1,1,1,1,0.956521739,0.977272727,0.976744186,1,0,0.976190476,NA,1,1,1,0.980769231,1,0.976190476,0.976744186,0.976190476,0.981481481,0.977777778,0.983606557,1,1,0.918918919,0.947368421,0.921052632,0.918918919,0.921052632,NA,0.9,0.942307692,0.884615385,0.905660377,NA,0.92,0.882352941,0.88,0.85106383,0.844444444,0.808510638,0.975,0.975,0.975,0.975,0.972222222,0.971428571,0.875,0.859649123,0.879310345,0.879310345,0.84,0.843137255,0.84,0.972222222,0.983333333,0.953488372,0.904761905,0.902439024,0.952380952,0.928571429,0.928571429,0.971428571,0.941176471,1,1,0.723404255,0.733333333,0.717391304,NA,0.733333333,0.986111111,0.977777778,0.979166667,0.97826087,0.914893617,NA,0.913043478,0.875,NA,0.958333333,0.952380952,0.897435897,0.863636364,0.857142857,0.853658537
M1.8800,0.980769231,0.981651376,0.981818182,0.971428571,1,1,1,1,1,1,0.987421384,0.976744186,0.978947368,0.946428571,0.967032967,0.953642384,0.959731544,0.968553459,0.978571429,0.970760234,0.96,0.957055215,0.95505618,0.977653631,0.977653631,0.981818182,0.983050847,0.977011494,0.98245614,0.963414634,0.977011494,0.980582524,0.96875,1,0.965517241,1,1,1,0.973214286,0.963636364,0.97029703,0.973684211,0.976190476,0,0.891891892,0.898734177,0.878205128,0.886792453,0.778688525,0.777777778,0.405405405,0.513157895,0.142857143,0.536842105,0.456790123,0.870967742,0.871621622,0.884615385,0.977011494,0.978021978,1,0.97752809,0.978021978,0.991869919,1,0.99378882,1,1,1,0.986013986,0.986666667,0.987012987,0.984615385,0.991596639,0.973154362,0.973451327,0.981818182,0.99,0.974137931,0.989690722,1,1,0.987341772,0.987654321,0.98757764,0.969924812,0.96969697,0.969924812,0.956989247,0.95,1,1,1,1,1,1,1,1,1,1,0.988372093,0.973684211,0.993865031,1,0.987878788,0.98255814,0.967391304,0.978947368,0.964285714,0.992537313,1,0.974358974,0.985185185,0.98,0.991666667,1,0.990384615,0.982300885,0.974137931,0.970588235
