"Dolphin.ID","T2008","T2010","T2012","T2014","T2016","T2018","Birth.Date","Weaning.Date","Last.Sighting.Date","Death.Date","Sex"
"ID0022",9,20,26,29,23,17,"1986-11-01","","2019-12-02","","MALE"
"ID0023",17,19,11,17,15,7,"1986-11-01","1992-03-10","2019-12-04","","FEMALE"
"ID0024",9,15,27,24,26,12,"1985-11-01","","2019-12-02","","MALE"
"ID0025",21,32,20,20,24,16,"1999-10-15","2003-10-04","2019-12-04","","FEMALE"
"ID0026",5,7,6,15,10,NA,"1998-11-01","2001-06-01","2017-10-02","","FEMALE"
"ID0027",5,NA,NA,NA,NA,NA,"2004-11-20","2008-07-07","2009-11-30","2012-05-01","MALE"
"ID0028",NA,9,35,57,NA,NA,"2008-10-17","2011-04-24","2015-12-02","2016-05-01","MALE"
"ID0029",30,32,49,63,38,38,"2003-11-19","2007-06-03","2019-12-07","","FEMALE"
"ID0030",6,8,12,11,NA,NA,"1985-11-01","","2015-09-29","2017-05-01","MALE"
"ID0031",16,25,27,33,20,8,"1975-11-01","","2019-06-13","","MALE"
"ID0032",NA,NA,NA,NA,4,7,"2011-12-15","2016-06-01","2019-12-07","","MALE"
"ID0033",NA,20,34,73,31,38,"2007-11-13","2011-05-01","2019-12-07","","FEMALE"
"ID0034",NA,NA,3,11,22,9,"2009-11-08","2013-08-21","2019-10-29","","FEMALE"
"ID0035",NA,NA,10,7,19,14,"2008-12-01","2013-02-11","2019-08-03","","MALE"
"ID0036",6,12,12,14,7,9,"1997-11-01","2001-07-12","2019-12-07","","FEMALE"
"ID0037",NA,2,15,16,11,9,"2006-11-01","2010-11-01","2019-07-17","","FEMALE"
"ID0038",14,12,10,8,NA,NA,"1972-11-01","","2015-06-20","2017-05-01","FEMALE"
"ID0039",17,17,15,16,14,10,"2002-10-01","2008-01-01","2019-12-07","","MALE"
"ID0040",8,10,19,4,NA,NA,"1981-11-01","","2014-10-18","2017-05-01","FEMALE"
"ID0041",9,NA,NA,NA,NA,NA,"1991-11-01","1996-10-30","2009-06-22","2010-05-01","MALE"
"ID0042",14,22,40,49,26,33,"2005-12-10","2009-06-12","2019-12-04","","FEMALE"
"ID0043",11,16,27,28,14,NA,"1982-11-01","","2017-07-19","2019-05-01","MALE"
"ID0044",29,35,41,73,28,25,"2004-05-07","2008-11-30","2019-12-07","","MALE"
"ID0045",NA,NA,NA,NA,9,7,"2011-10-21","2016-04-17","2019-07-17","","FEMALE"
"ID0046",10,10,NA,NA,NA,NA,"1979-12-25","1983-05-01","2010-12-06","2011-05-01","FEMALE"
"ID0047",6,NA,NA,NA,NA,NA,"1990-11-01","1994-04-27","2008-10-01","2009-05-01","MALE"
"ID0048",6,5,5,14,6,5,"1985-11-01","","2019-12-03","","FEMALE"
"ID0049",13,21,10,9,6,10,"1989-11-01","1994-04-01","2019-11-23","","FEMALE"
"ID0050",59,41,34,78,30,38,"1997-12-13","2002-08-11","2019-12-07","","FEMALE"
"ID0051",6,15,11,NA,NA,NA,"1979-11-01","","2013-10-07","2015-05-01","MALE"
"ID0052",32,34,28,27,13,15,"1989-11-01","","2019-11-15","","MALE"
"ID0053",5,9,10,NA,NA,NA,"1974-11-01","","2013-11-15","2015-05-01","MALE"
"ID0054",14,22,30,40,21,25,"2002-02-15","2005-06-11","2019-12-04","","FEMALE"
"ID0055",22,22,42,31,23,20,"1984-11-01","1993-01-19","2019-10-29","","FEMALE"
"ID0056",5,2,NA,NA,NA,NA,"1979-11-01","","2010-11-04","2011-05-01","MALE"
"ID0057",20,19,30,58,19,21,"2005-11-20","2009-02-07","2019-12-07","","MALE"
"ID0058",NA,NA,4,7,8,7,"2007-11-01","2012-05-06","2019-10-09","","MALE"
"ID0059",NA,NA,NA,NA,NA,5,"2010-11-01","2019-01-16","2019-11-10","","FEMALE"
"ID0060",5,9,27,15,11,5,"1999-11-01","2003-04-19","2019-10-08","","MALE"
"ID0061",NA,NA,NA,18,15,6,"2011-10-20","2015-05-11","2019-08-02","","MALE"
"ID0062",10,5,NA,NA,NA,NA,"1989-11-01","1992-06-03","2010-10-26","2011-05-01","MALE"
"ID0063",6,NA,NA,NA,NA,NA,"1965-11-01","","2008-09-15","2009-05-01","FEMALE"
"ID0064",10,22,23,38,28,11,"1982-11-01","","2019-12-02","","MALE"
